"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0010828","positive regulation of D-glucose transmembrane transport",27,0.473034572165814,1.55490184544493,0.0360313849351427,0.335234244860635,0.222417855399,2595,"tags=44%, list=18%, signal=36%","23596/100506658/23433/1389/3643/4780/673/9847/26060/5584/10776/5906",0.321775918075361
"GO:0150078","positive regulation of neuroinflammatory response",10,-0.642914185092034,-1.55483117964176,0.0478011472275335,0.393498020610378,0.261074121124757,1075,"tags=30%, list=8%, signal=28%","6352/90865/3553",0.287857117255149
"GO:0060071","Wnt signaling pathway, planar cell polarity pathway",33,0.439115169407142,1.55451600428928,0.0314533637448107,0.313639404164171,0.208090327024363,1697,"tags=27%, list=12%, signal=24%","4300/7976/7074/6259/8324/8323/64750/23002/9863",0.321775918075361
"GO:0061387","regulation of extent of cell growth",62,0.389700748476683,1.55280570244096,0.00808811108268642,0.154234122221405,0.102329708911729,2399,"tags=32%, list=17%, signal=27%","23499/10371/9175/4897/6792/3897/1000/9706/627/5048/22902/659/25942/2932/1946/4131/2045/57698/23369/999",0.380730400722792
"GO:0010631","epithelial cell migration",68,0.371397926960413,1.55223817944324,0.0149271301885104,0.213410746928679,0.141591622510727,1798,"tags=21%, list=13%, signal=18%","8754/5747/23499/100506658/5801/11221/23332/5728/5581/1793/83481/54566/659/5586",0.380730400722792
"GO:0048368","lateral mesoderm development",9,-0.67150068178209,-1.54896578287003,0.0255520556534245,0.279077842043722,0.185159768336169,1206,"tags=56%, list=9%, signal=51%","6469/55897/56926/6608/23420",0.352487857583619
"GO:0061136","regulation of proteasomal protein catabolic process",194,-0.341114482231873,-1.54801929361884,0.00198233969620945,0.0677222561332949,0.0449316834508095,1788,"tags=22%, list=13%, signal=20%","5691/6923/5692/10273/57805/5689/65018/1050/5709/348/6449/150684/6613/8078/5693/1263/5694/9817/22933/2648/8263/5695/474384/23640/7415/5710/5347/5702/11315/9709/8312/56893/27351/5717/9491/2931/5708/10197/5705/11047/5688/5704/5714",0.431707695803346
"GO:0014854","response to inactivity",5,0.755352193414753,1.54676324149615,0.0474318786429384,0.392548899867474,0.260444408011052,2356,"tags=60%, list=17%, signal=50%","847/5290/114907",0.321775918075361
"GO:0021795","cerebral cortex cell migration",25,0.470308246536391,1.54649826443685,0.0367273617859143,0.337969690562301,0.22423274148493,1348,"tags=32%, list=10%, signal=29%","653464/85458/114327/23224/6091/5194/23380/5048",0.321775918075361
"GO:0097119","postsynaptic density protein 95 clustering",6,0.737441634912437,1.54531763856653,0.036733189597095,0.337969690562301,0.22423274148493,1223,"tags=50%, list=9%, signal=46%","1000/9419/23613",0.321775918075361
"GO:2000739","regulation of mesenchymal stem cell differentiation",8,0.656644823976014,1.54331960707252,0.034667424018221,0.326451576171581,0.216590818440674,3062,"tags=62%, list=22%, signal=49%","83959/2649/7473/2932/5978",0.321775918075361
"GO:0030261","chromosome condensation",32,-0.471151540176613,-1.5430110667843,0.0313364989880348,0.313639404164171,0.208090327024363,2567,"tags=38%, list=18%, signal=31%","26993/29781/23310/387893/22985/5119/891/23397/10270/5347/1503/3006",0.321775918075361
"GO:0032782","bile acid secretion",3,-0.893236168105278,-1.54263785484355,0.0338323226373733,0.320643109382589,0.212737075136792,1513,"tags=100%, list=11%, signal=89%","9368/8647/9075",0.321775918075361
"GO:1990874","vascular associated smooth muscle cell proliferation",41,0.4121859671678,1.54252914576292,0.0192436420082306,0.245327611588648,0.162767503846124,1674,"tags=29%, list=12%, signal=26%","27250/6648/3717/3488/1027/7168/3248/5728/7043/657/5031/4193",0.352487857583619
"GO:0060079","excitatory postsynaptic potential",48,-0.425066107262971,-1.54199416172089,0.00846640791355317,0.156793237969219,0.104027605367931,3951,"tags=44%, list=28%, signal=32%","154/5590/112755/85358/57596/1140/2185/1742/207/5026/1855/7476/57465/6804/5575/10458/2931/2030/134/66000/9775",0.380730400722792
