"pathway","ENTREZID","SYMBOL","GENENAME"
"KEGG_Spliceosome","7536","SF1","splicing factor 1"
"KEGG_Spliceosome","6636","SNRPF","small nuclear ribonucleoprotein polypeptide F"
"KEGG_Spliceosome","11157","LSM6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated"
"KEGG_Spliceosome","10523","CHERP","calcium homeostasis endoplasmic reticulum protein"
"KEGG_Spliceosome","3312","HSPA8","heat shock protein family A (Hsp70) member 8"
"KEGG_Spliceosome","10084","PQBP1","polyglutamine binding protein 1"
"KEGG_Spliceosome","6631","SNRPC","small nuclear ribonucleoprotein polypeptide C"
"KEGG_Spliceosome","6628","SNRPB","small nuclear ribonucleoprotein polypeptides B and B1"
"KEGG_Spliceosome","4670","HNRNPM","heterogeneous nuclear ribonucleoprotein M"
"KEGG_Spliceosome","55696","RBM22","RNA binding motif protein 22"
"KEGG_Spliceosome","10262","SF3B4","splicing factor 3b subunit 4"
"KEGG_Spliceosome","10189","ALYREF","Aly/REF export factor"
"KEGG_Spliceosome","27339","PRPF19","pre-mRNA processing factor 19"
"KEGG_Spliceosome","9416","DDX23","DEAD-box helicase 23"
"KEGG_Spliceosome","11338","U2AF2","U2 small nuclear RNA auxiliary factor 2"
"KEGG_Spliceosome","24148","PRPF6","pre-mRNA processing factor 6"
"KEGG_Spliceosome","8896","BUD31","BUD31 spliceosome associated protein"
"KEGG_Spliceosome","9775","EIF4A3","eukaryotic translation initiation factor 4A3"
"KEGG_Spliceosome","9343","EFTUD2","elongation factor Tu GTP binding domain containing 2"
"KEGG_Spliceosome","2521","FUS","FUS RNA binding protein"
"KEGG_Spliceosome","6625","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70"
"KEGG_Spliceosome","26121","PRPF31","pre-mRNA processing factor 31"
"KEGG_Spliceosome","23450","SF3B3","splicing factor 3b subunit 3"
"KEGG_Spliceosome","9785","DHX38","DEAH-box helicase 38"
"KEGG_Spliceosome","6633","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide"
"KEGG_Oxidative_Phosphorylation","1537","CYC1","cytochrome c1"
"KEGG_Oxidative_Phosphorylation","498","ATP5F1A","ATP synthase F1 subunit alpha"
"KEGG_Oxidative_Phosphorylation","10063","COX17","cytochrome c oxidase copper chaperone COX17"
"KEGG_Oxidative_Phosphorylation","533","ATP6V0B","ATPase H+ transporting V0 subunit b"
"KEGG_Oxidative_Phosphorylation","1347","COX7A2","cytochrome c oxidase subunit 7A2"
"KEGG_Oxidative_Phosphorylation","7388","UQCRH","ubiquinol-cytochrome c reductase hinge protein"
"KEGG_Oxidative_Phosphorylation","9167","COX7A2L","cytochrome c oxidase subunit 7A2 like"
"KEGG_Oxidative_Phosphorylation","537","ATP6AP1","ATPase H+ transporting accessory protein 1"
"KEGG_Oxidative_Phosphorylation","6391","SDHC","succinate dehydrogenase complex subunit C"
"KEGG_Oxidative_Phosphorylation","7385","UQCRC2","ubiquinol-cytochrome c reductase core protein 2"
"KEGG_Oxidative_Phosphorylation","517","ATP5MC2","ATP synthase membrane subunit c locus 2"
"KEGG_Oxidative_Phosphorylation","6389","SDHA","succinate dehydrogenase complex flavoprotein subunit A"
"KEGG_Oxidative_Phosphorylation","4695","NDUFA2","NADH:ubiquinone oxidoreductase subunit A2"
"KEGG_Oxidative_Phosphorylation","1349","COX7B","cytochrome c oxidase subunit 7B"
"KEGG_Oxidative_Phosphorylation","4702","NDUFA8","NADH:ubiquinone oxidoreductase subunit A8"
"KEGG_Oxidative_Phosphorylation","4708","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2"
"KEGG_Oxidative_Phosphorylation","4724","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4"
"KEGG_Oxidative_Phosphorylation","4710","NDUFB4","NADH:ubiquinone oxidoreductase subunit B4"
"KEGG_Oxidative_Phosphorylation","529","ATP6V1E1","ATPase H+ transporting V1 subunit E1"
"KEGG_Oxidative_Phosphorylation","4709","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3"
"KEGG_Oxidative_Phosphorylation","440567","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like"
"KEGG_Oxidative_Phosphorylation","54539","NDUFB11","NADH:ubiquinone oxidoreductase subunit B11"
